nombre_evento,url_evento,codigo_postal,fecha_inicio,fecha_fin,latitud,longitud,direccion,horario,organizacion,id_ciudad,id_evento
25º aniversario de la revista La Fragua,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1ea220bed10d4910VgnVCM2000001f4a900aRCRD,28005,2025-02-24 00:00:00.0,2025-03-02 23:59:00.0,40.41410290844665,-3.7098591212735883,CALLE SAN JUSTO 5,,"{'organization-name': 'Biblioteca Pública Municipal Iván de Vargas (Centro)', 'accesibility': '1,6'}",1,1
3CLONWS,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fc8d040e7c784910VgnVCM1000001d4a900aRCRD,28012,2025-03-21 19:00:00.0,2025-03-22 23:59:00.0,40.40596936645757,-3.698589986849812,RONDA ATOCHA 35,19:00,"{'organization-name': 'Teatro Circo Price', 'accesibility': '1'}",1,2
60 Premio Reina Sofía de Pintura y Escultura,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=34c5130393e15910VgnVCM2000001f4a900aRCRD,28009,2025-02-27 00:00:00.0,2025-03-23 23:59:00.0,40.41906571939961,-3.684053112760816,PASEO COLOMBIA 1,,"{'organization-name': 'Centro Cultural Casa de Vacas (Retiro)', 'accesibility': '1'}",1,3
7 pares de pies,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d8ec08889415910VgnVCM2000001f4a900aRCRD,28037,2025-03-23 12:00:00.0,2025-03-23 23:59:00.0,40.420280457570335,-3.621730741880216,CALLE SAN ROMAN DEL VALLE 8,12:00,"{'organization-name': 'Centro Cultural Antonio Machado (San Blas - Canillejas)', 'accesibility': '1'}",1,4
A la fresca,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cd729f45bf9e1910VgnVCM1000001d4a900aRCRD,28045,2025-02-06 00:00:00.0,2025-02-23 23:59:00.0,40.39245798191536,-3.6972067902718897,PASEO CHOPERA 14,,"{'organization-name': 'Nave 10 Matadero. Creación Dramática Contemporánea', 'accesibility': '1,6'}",1,5
A toda vela,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=59d5e7da8b822910VgnVCM1000001d4a900aRCRD,28045,2024-10-01 00:00:00.0,2025-06-01 23:59:00.0,40.39130985242181,-3.6958028442054074,PLAZA LEGAZPI 8,,"{'organization-name': 'Matadero Madrid', 'accesibility': '1'}",1,6
Academia de hadas y duendes,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eca61387ac444910VgnVCM2000001f4a900aRCRD,28045,2025-03-16 11:30:00.0,2025-03-16 23:59:00.0,40.39130985242181,-3.6958028442054074,PLAZA LEGAZPI 8,11:30,"{'organization-name': 'Matadero Madrid', 'accesibility': '1'}",1,7
Academia de hadas y duendes,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a961387ac444910VgnVCM2000001f4a900aRCRD,28045,2025-02-23 11:30:00.0,2025-02-23 23:59:00.0,40.39130985242181,-3.6958028442054074,PLAZA LEGAZPI 8,11:30,"{'organization-name': 'Matadero Madrid', 'accesibility': '1'}",1,8
Acompañamiento digital a personas mayores,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5b58d89ad2232910VgnVCM2000001f4a900aRCRD,,2024-10-14 00:00:00.0,2025-06-30 23:59:00.0,,,,,,1,9
Acompañar en la pérdida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=197023e4c84d3910VgnVCM2000001f4a900aRCRD,28029,2025-01-14 17:00:00.0,2025-06-17 23:59:00.0,40.47860087334554,-3.7094408342979954,AVENIDA MONFORTE DE LEMOS 38,17:00,"{'organization-name': 'Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo)', 'accesibility': '1,6'}",1,10
