id_reserva,id_cliente,id_hotel,inicio_estancia,final_estancia,precio_noche,fecha_reserva
5256cc90-139b-43d2-8ec5-412495d751cf,cliente_01,hotel_21,2025-03-01,2025-03-02,170.0,23/02/2025
84fd6209-bd8d-4a92-bfe6-c68ee2c49271,cliente_02,hotel_22,2025-03-01,2025-03-02,172.0,23/02/2025
40c4cb55-d1f5-407b-832f-4756b8ff77b4,cliente_03,hotel_02,2025-03-01,2025-03-02,119.96,23/02/2025
f2ce8df5-7844-43e1-8c0f-97ce7a208f21,cliente_04,hotel_03,2025-03-01,2025-03-02,211.53,23/02/2025
57d4515a-447d-4067-afcb-9bdcf4e4e915,cliente_05,hotel_04,2025-03-01,2025-03-02,378.37,23/02/2025
ccbd9fe9-5a60-4f6f-bed3-73a7158ecba7,cliente_06,hotel_05,2025-03-01,2025-03-02,85.45,23/02/2025
99c3dc4f-663c-45f7-849a-ac9313f3746a,cliente_07,hotel_06,2025-03-01,2025-03-02,309.8,23/02/2025
4d65096e-5f12-4ce7-9fd6-dd20e3cf5194,cliente_08,hotel_23,2025-03-01,2025-03-02,95.0,23/02/2025
a5da0906-0fe5-4c30-b193-863df67a7b84,cliente_09,hotel_07,2025-03-01,2025-03-02,434.88,23/02/2025
458029ad-cc9b-4d85-8290-fec170bcc02d,cliente_10,hotel_24,2025-03-01,2025-03-02,116.0,23/02/2025
3eca014e-f122-41d7-9dd3-b984b9153d57,cliente_11,hotel_08,2025-03-01,2025-03-02,216.57,23/02/2025
ac0fe86e-90a0-4fe6-a02e-6ea00e9a8621,cliente_12,hotel_25,2025-03-01,2025-03-02,90.0,23/02/2025
8d2d3ea2-14bb-4762-a7a4-a44e75d2d2f4,cliente_13,hotel_26,2025-03-01,2025-03-02,97.0,23/02/2025
8a68fb77-8798-4902-a92d-642ea5e47083,cliente_14,hotel_09,2025-03-01,2025-03-02,378.1,23/02/2025
77354d6e-4713-496f-af21-c231b909e29c,cliente_15,hotel_24,2025-03-01,2025-03-02,116.0,23/02/2025
5e3de36b-3d2f-4cef-98d3-df826c56a4b1,cliente_16,hotel_10,2025-03-01,2025-03-02,358.07,23/02/2025
f4cf7cbf-7a2a-4e44-9b9d-e2c9a444ec78,cliente_17,hotel_27,2025-03-01,2025-03-02,84.0,23/02/2025
2a39eb83-b3aa-4df0-93b3-1fdc0b0a9609,cliente_18,hotel_11,2025-03-01,2025-03-02,79.77,23/02/2025
96a3727c-99fb-4ae0-a6c3-886504499ec2,cliente_19,hotel_12,2025-03-01,2025-03-02,228.02,23/02/2025
18fa5887-c155-4064-ba8d-3b2948dd348b,cliente_20,hotel_04,2025-03-01,2025-03-02,385.24,23/02/2025
