nombre_evento,url_evento,codigo_postal,direccion,horario,organizacion
25º aniversario de la revista La Fragua,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1ea220bed10d4910VgnVCM2000001f4a900aRCRD,28005,CALLE SAN JUSTO 5,,"{'organization-name': 'Biblioteca Pública Municipal Iván de Vargas (Centro)', 'accesibility': '1,6'}"
3CLONWS,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fc8d040e7c784910VgnVCM1000001d4a900aRCRD,28012,RONDA ATOCHA 35,19:00,"{'organization-name': 'Teatro Circo Price', 'accesibility': '1'}"
7 pares de pies,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d8ec08889415910VgnVCM2000001f4a900aRCRD,28037,CALLE SAN ROMAN DEL VALLE 8,12:00,"{'organization-name': 'Centro Cultural Antonio Machado (San Blas - Canillejas)', 'accesibility': '1'}"
A la fresca,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cd729f45bf9e1910VgnVCM1000001d4a900aRCRD,28045,PASEO CHOPERA 14,,"{'organization-name': 'Nave 10 Matadero. Creación Dramática Contemporánea', 'accesibility': '1,6'}"
A Magic Treasure,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4f40a53706894910VgnVCM1000001d4a900aRCRD,28020,CALLE BRAVO MURILLO 251,18:00,"{'organization-name': 'Centro Sociocultural Tetuán', 'accesibility': '1'}"
A toda vela,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=59d5e7da8b822910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,"{'organization-name': 'Matadero Madrid', 'accesibility': '1'}"
A verso y voz,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4a547f84b5394910VgnVCM1000001d4a900aRCRD,28030,AVENIDA MORATALAZ 130,,"{'organization-name': 'Centro Cultural el Torito (Moratalaz)', 'accesibility': '1'}"
Academia de hadas y duendes,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eca61387ac444910VgnVCM2000001f4a900aRCRD,28045,PLAZA LEGAZPI 8,11:30,"{'organization-name': 'Matadero Madrid', 'accesibility': '1'}"
Academia de hadas y duendes,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a961387ac444910VgnVCM2000001f4a900aRCRD,28045,PLAZA LEGAZPI 8,11:30,"{'organization-name': 'Matadero Madrid', 'accesibility': '1'}"
Acompañamiento digital a personas mayores,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5b58d89ad2232910VgnVCM2000001f4a900aRCRD,,,,
Acompañar en la pérdida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=197023e4c84d3910VgnVCM2000001f4a900aRCRD,28029,AVENIDA MONFORTE DE LEMOS 38,17:00,"{'organization-name': 'Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo)', 'accesibility': '1,6'}"
Actividades del Centro Cultural Casa del Reloj,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1df19c4490405910VgnVCM1000001d4a900aRCRD,28045,PASEO CHOPERA 6,,"{'organization-name': 'Centro Cultural Casa del Reloj (Arganzuela)', 'accesibility': '1'}"
Actividades en el centro juvenil 'Carabanchel Alto'. Febrero 2024,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8fdc0b8d46a5d810VgnVCM2000001f4a900aRCRD,28044,CALLE ALFONSO FERNANDEZ 23,,"{'organization-name': 'Centro Juvenil Carabanchel Alto', 'accesibility': '1'}"
Actividades en el centro juvenil 'El Aleph' (Villa de Vallecas). Febrero 2024,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=63310b8d46a5d810VgnVCM2000001f4a900aRCRD,28031,CALLE ZAZUAR 1,,"{'organization-name': 'Centro Juvenil El Aleph (Villa de Vallecas)', 'accesibility': '1'}"
Actividades en el centro juvenil 'El Sitio de mi recreo' (Villa de Vallecas). Febrero  2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e7d00b8d46a5d810VgnVCM2000001f4a900aRCRD,28031,CALLE REAL DE ARGANDA 39,,"{'organization-name': 'Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas)', 'accesibility': '1'}"
Actividades en el centro juvenil 'Hontalbilla' (Fuencarral - El Pardo). Febrero 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6a400b8d46a5d810VgnVCM2000001f4a900aRCRD,28034,CALLE HONTALBILLA 10,,"{'organization-name': 'Centro Juvenil Hontalbilla (Fuencarral - El Pardo)', 'accesibility': '0'}"
Actividades en el centro juvenil 'Ouka Leele'. Febrero 2025.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=51f73efea2652910VgnVCM1000001d4a900aRCRD,28045,CALLE BRONCE 16,,"{'organization-name': 'Centro Juvenil Ouka Leele', 'accesibility': '1'}"
Actividades en el centro juvenil 'Pipo Velasco'. Febrero 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1e8a4b7e6ee5d810VgnVCM2000001f4a900aRCRD,28026,CALLE AVENA 5,,"{'organization-name': 'Centro Juvenil Pipo Velasco (Usera)', 'accesibility': '1'}"
Actividades mensuales de los centros de mayores del distrito Hortaleza,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=315479485bdeb810VgnVCM1000001d4a900aRCRD,,,,
Actuación de guiñol con animación y malabares: 'ANATOLA CARACOLA',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d06305f190894910VgnVCM1000001d4a900aRCRD,28035,GLORIETA PRADERA DE VAQUERIZAS 9,18:00,"{'organization-name': 'Centro Cultural Alfredo Kraus (Fuencarral - El Pardo)', 'accesibility': '1'}"
Agrupación de Música Moderna de la Escuela Municipal de Música Antonio Machado,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1760a8c219315910VgnVCM2000001f4a900aRCRD,28022,CALLE BOLTAÑA 27,,"{'organization-name': 'Centro Cultural Buero Vallejo (San Blas - Canillejas)', 'accesibility': '1'}"
Aina Alegre «R-A-U-X-A»,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4e182dd1dc0e1910VgnVCM1000001d4a900aRCRD,28015,CALLE CONDE DUQUE 9,20:00,"{'organization-name': 'Centro de Cultura Contemporánea Conde Duque', 'accesibility': '1'}"
