id_hotel2,nombre_hotel,estrellas,precio_noche
hotel_01,,,
hotel_02,Hotel Monte Verde,1.0,119.96
hotel_03,Hotel Brisas del Mar,5.0,211.53
hotel_04,Hotel Camino del Sol,1.0,378.37
hotel_05,Hotel Puerta del Cielo,5.0,85.45
hotel_06,Hotel Encanto Real,1.0,309.8
hotel_07,Palacio del Sol,4.0,434.88
hotel_08,Hotel Jardines del Rey,3.0,216.57
hotel_09,Hotel Las Estrellas,4.0,378.1
hotel_10,Gran Hotel Madrid,2.0,358.07
hotel_11,Hotel Torre Dorada,3.0,79.77
hotel_12,Hotel Palacio Imperial,2.0,228.02
hotel_04,Hotel Camino del Sol,3.0,385.24
hotel_13,Hotel Luz de Madrid,3.0,454.01
hotel_06,Hotel Encanto Real,1.0,279.28
hotel_14,Hotel Los Almendros,5.0,332.34
hotel_12,Hotel Palacio Imperial,5.0,318.14
hotel_15,Hotel Sol y Luna,1.0,437.34
hotel_02,Hotel Monte Verde,1.0,387.89
hotel_16,Hotel Mirador Real,5.0,254.17
hotel_05,Hotel Puerta del Cielo,5.0,460.67
hotel_09,Hotel Las Estrellas,5.0,218.25
hotel_02,Hotel Monte Verde,4.0,463.31
hotel_05,Hotel Puerta del Cielo,2.0,445.41
hotel_17,Hotel Rincón Sereno,1.0,88.53
hotel_18,Hotel Vista Alegre,4.0,394.62
hotel_14,Hotel Los Almendros,2.0,169.27
hotel_13,Hotel Luz de Madrid,3.0,370.82
hotel_19,Hotel Costa Azul,2.0,253.16
hotel_19,Hotel Costa Azul,5.0,314.73
hotel_10,Gran Hotel Madrid,2.0,368.52
hotel_06,Hotel Encanto Real,5.0,436.83
hotel_11,Hotel Torre Dorada,5.0,109.53
hotel_07,Palacio del Sol,4.0,135.67
hotel_10,Gran Hotel Madrid,1.0,260.15
hotel_12,Hotel Palacio Imperial,2.0,135.58
hotel_06,Hotel Encanto Real,4.0,258.17
hotel_04,Hotel Camino del Sol,1.0,343.46
hotel_17,Hotel Rincón Sereno,2.0,232.88
hotel_13,Hotel Luz de Madrid,3.0,50.96
hotel_04,Hotel Camino del Sol,4.0,363.46
hotel_10,Gran Hotel Madrid,5.0,147.96
hotel_10,Gran Hotel Madrid,1.0,386.58
hotel_20,Hotel Maravilla Real,2.0,463.71
hotel_09,Hotel Las Estrellas,1.0,86.04
hotel_11,Hotel Torre Dorada,2.0,103.94
hotel_14,Hotel Los Almendros,5.0,328.71
hotel_08,Hotel Jardines del Rey,3.0,470.61
hotel_05,Hotel Puerta del Cielo,4.0,108.89
hotel_11,Hotel Torre Dorada,1.0,256.22
hotel_18,Hotel Vista Alegre,3.0,277.64
hotel_04,Hotel Camino del Sol,3.0,120.98
hotel_04,Hotel Camino del Sol,3.0,350.53
hotel_18,Hotel Vista Alegre,3.0,472.51
hotel_18,Hotel Vista Alegre,3.0,384.08
hotel_08,Hotel Jardines del Rey,3.0,372.92
hotel_10,Gran Hotel Madrid,1.0,457.39
hotel_18,Hotel Vista Alegre,3.0,200.09
hotel_14,Hotel Los Almendros,5.0,298.25
hotel_03,Hotel Brisas del Mar,5.0,295.51
hotel_05,Hotel Puerta del Cielo,3.0,107.34
hotel_08,Hotel Jardines del Rey,2.0,454.51
hotel_14,Hotel Los Almendros,5.0,401.04
hotel_09,Hotel Las Estrellas,4.0,439.06
hotel_07,Palacio del Sol,4.0,121.63
